,Comments
97103,['3.64']
97162,[]
97165,['3.92']
97297,['12.24']
97298,[]
97314,['9.45']
97342,[]
97345,[]
97404,['5.7']
97419,['7.56']
97420,['6.72']
97421,['5.6']
97423,['3.92']
97558,['11.655']
97573,['2.835']
97675,['8.12']
97883,['12.04']
97886,['3.64']
97949,[]
97952,[]
97953,[]
97988,['3.82']
98006,[]
98060,[]
98061,[]
98066,['5.32']
98079,['5.7']
98091,[]
98183,['30.21']
98184,['44.46']
98185,['33.63']
98186,['37.62']
98190,[]
98191,['61.25']
98201,['6.21']
98244,['6.84']
98261,[]
98332,['34.02']
98349,['13.32']
98351,['6.615']
98353,['4.76']
98354,['6.16']
98397,['3.48']
98430,[]
98544,['3.77']
98594,['9.3']
98637,['7.9']
98662,['3.64']
98706,['2.4']
98722,['6.27']
98802,['5.035']
98822,[]
98853,['4.06']
98869,['6.3']
98880,['2.8']
98977,['6.84']
99115,['6.6']
99128,[]
99190,['5.22']
99195,['2.4']
99236,[]
99259,['51.52']
99284,['12.825']
99324,['11.97']
99358,['7.29']
99392,['5.13']
99417,[]
99435,['2.9']
99466,['3.6']
99469,['4.7']
99545,['13.8']
99549,['6.3']
99653,['2.12']
99685,['2.61']
100004,['4.76']
100029,['2.52']
100032,['3.3']
100069,['3.85']
100074,[]
100094,['10.2']
100098,['8.7']
100161,['2.24']
100162,['14.7']
100214,['3.6']
100268,['12.9']
100330,['4.55']
100354,[]
100367,[]
100368,[]
100369,[]
100374,['3.92']
100398,['7.84']
100420,[]
100489,['6.3']
100491,['3.08']
100500,[]
100542,['2.24']
100579,['8.505']
100585,['4.48']
100586,['5.04']
100668,['9.483']
100699,['3.6']
100745,['4.5']
100746,['7.2']
100747,['5.415']
100764,['3.99']
100769,['4.48']
100807,['5.32']
100866,['4.56']
100878,['7.84']
100881,['2.52']
100883,['3.92']
100887,['3.64']
100903,['2.24']
100913,['3.64']
100914,['4.76']
100916,[]
100936,['6.70']
100966,['5.04']
100970,['5.6']
101003,['4.64']
101013,['5.8']
101071,['6.16']
101091,['4.48']
101092,['3.08']
101197,[]
101269,['5.6']
101270,['6.16']
101275,['6.44']
101277,['3.64']
101289,['2.4']
101310,['5.44']
101382,['5.32']
101428,['5.6']
101429,['7.84']
101495,['5.2']
101510,['6.555']
101584,[]
101636,['6.72']
101637,['10.385']
101687,['4.56']
101731,['3.6']
101749,['6.72']
101774,[]
101776,['4.06']
101818,['5.415']
101851,['8.45']
101876,['2.32']
101907,['7.695']
101910,['2.4']
101922,['4.35']
101995,['4.2']
102012,['5.8']
102244,['8.19']
102342,['10.7']
102394,['6.6']
102434,['12.88']
102470,[]
102476,['6.5']
102520,['4.2']
102579,[]
102635,['6.27']
102649,['5.2']
102673,['5.04']
102729,['10.26']
102817,['2.24']
102819,['7.56']
102820,['6.16']
102887,['3.25']
103113,['3.08']
103114,['3.36']
103149,['6.7']
103157,"['3.33', '4.44']"
103186,['8.265']
103193,['5.8']
103235,['4.2']
103237,['12.18']
103240,['4.64']
103270,['3.48']
103286,['4.8']
103322,[]
103349,['11.04']
103465,['4.8']
103556,[]
103611,['10.23']
103614,['12.06']
103653,['8.94']
103659,['4.02']
103742,['4.845']
103748,['5.4']
103895,['10.545']
103901,['6.96']
103904,['3.48']
103906,['9.86']
103936,['7.54']
103942,['5.559']
103955,['3.20']
103958,['5.8']
103972,['9.28']
104028,['10.72']
104092,['4.5']
104101,[]
104197,['7.56']
104198,['11.48']
104272,[]
104283,['24.75']
104320,['4.56']
104321,['4.8']
104352,[]
104398,['5.4']
104453,[]
104460,['10.83']
104461,['3.42']
104471,['8.41']
104483,['2.28']
104484,['5.13']
104510,['4.35']
104542,['6.27']
104589,['8.64']
104592,['4.8']
104631,['7.41']
104660,['2.8']
104705,['3.3']
104725,[]
104736,['6.555']
104835,['5.4']
104904,['9.12']
104979,['7.8']
105019,['4.2']
105057,['4.48']
105096,['6.16']
105121,[]
105205,['9.69']
105225,['7.5']
105226,['1.95']
105321,['17.98']
105339,['5.94']
105361,['5.415']
105362,['6.555']
105423,['3.2']
105432,[]
105445,['3.42']
105446,['5.985']
105468,['10.36']
105507,['3.99']
105539,['13.11']
105546,[]
105581,['7.475']
105583,['5.525']
105682,['7.36']
105684,[]
105690,['6.555']
105723,['8.38']
105724,['5.72']
105739,['9.975']
105779,['9.52']
105813,['9.66']
105819,['4.275']
105871,['10.36']
105872,['10.36']
105960,['4.55']
105968,['4.28']
106057,['6.27']
106226,['3.19']
106243,['3.5']
106244,['4.8']
106325,['7.2']
106444,['5.51']
106567,['3.08']
106595,['5.51']
106637,[]
106643,['6.67']
106668,['7.37']
106680,['4.93']
106681,['11.31']
106682,['4.06']
106754,['4.64']
106799,['5.04']
106800,['6.44']
106821,[]
106847,['7.245']
106867,['5.8']
106908,['6.035']
106912,['6.62']
106921,['10.15']
106922,[]
106998,['17.98']
107009,['11.6']
107010,['2.24']
107066,[]
107122,['66.6']
107145,['10.15']
107170,['8.4']
107178,['5.36']
107251,[]
107254,[]
107284,[]
107294,[]
107322,[]
107401,[]
107410,['8.5']
107484,['4.64']
107578,['5.670']
107580,['7.84']
107581,['7.28']
107582,['5.48']
107589,[]
107693,[]
107702,['6.67']
107704,['4.675']
107826,['4.8']
107896,['12.73']
107898,['3.015']
107913,['8.1']
107923,['4.64']
107995,[]
108045,['5.5']
108056,['3.36']
108057,['10.44']
108066,['3.2']
108099,['16.24']
108164,['7.83']
108177,['4.06']
108178,['8.7']
108184,['10.05']
108186,['431.87']
108471,[]
108541,['16.82']
108566,['6.37']
108640,['4.08']
108680,['6.555']
108685,[]
108747,['6.09']
108748,['2.32']
108780,['24.85']
108794,['24.92']
108927,[]
108994,['4.90']
108998,['8.4']
109038,['7.2']
109041,['5.1']
109045,['7.8']
109064,"['5.85', '13.5']"
109141,['11.375']
109172,[]
109188,[]
109292,['12.095']
109324,['11.890']
109351,['9.0']
109386,['8.32']
109415,['29.5']
109481,[]
109680,['12.09']
109722,['9.57']
109835,['4.02']
109862,['4.060']
109928,['6.48']
110013,['4.55']
110066,['6.38']
110067,['2.23']
110068,[]
110123,['3.77']
110166,['3.92']
110167,['6.44']
110174,['2.95']
110208,['8.4']
110210,['11.21']
110226,['3.245']
110242,['6.09']
110251,[]
110284,['5.32']
110398,[]
110528,['7.92']
110538,['4.93']
110559,[]
110588,[]
110620,['3.64']
110634,['9.15']
110673,['5.7']
110678,[]
110713,['8.12']
110741,['4.2']
110877,['7.08']
110908,['7.35']
111230,['4.32']
111272,['4.68']
111349,[]
111350,[]
111351,[]
111393,[]
111492,[]
111934,['19.52']
112253,[]
112268,[]
112395,[]
112403,[]
112713,['50.96']
112714,['15.51']
112715,['15.51']
112716,['12.925']
112717,['15.51']
112718,['28.665']
112874,[]
112895,[]
113336,['6.5']
113948,['369.8']
114205,['3.84']
114216,['5.85']
114808,[]
120685,[]
139168,[]
150153,[]
159973,[]
167378,[]
167696,[]
169313,[]
208270,[]
215126,[]
215496,[]
215652,[]
215653,[]
215925,[]
217277,[]
220603,[]
221006,[]
221473,[]
222259,[]
222995,[]
223357,[]
224123,[]
224327,[]
224853,[]
225199,[]
229309,[]
230184,[]
232656,[]
236170,[]
237134,[]
242740,[]
242741,[]
242742,[]
243876,[]
244376,[]
244394,[]
246108,[]
247755,[]
254800,[]
255708,[]
256068,[]
259315,[]
260145,[]
262056,[]
262639,[]
262766,[]
263103,[]
263217,[]
264513,[]
264919,['4.8']
264920,['5.2']
264922,['4.7']
265012,[]
265101,[]
265380,['4.31']
265627,[]
265767,[]
265768,[]
265769,[]
266045,[]
266046,[]
266255,[]
266443,[]
266462,['5.64']
266467,[]
266508,[]
266509,[]
266510,[]
266537,[]
266539,[]
266749,[]
266807,[]
266808,[]
266810,[]
266829,[]
266946,[]
267110,[]
267111,[]
267112,[]
267496,[]
267577,[]
267646,[]
267790,[]
267793,[]
267794,[]
267809,[]
267810,[]
267811,[]
267812,[]
267813,[]
268152,[]
268171,[]
268270,['3.8']
268278,[]
268392,[]
268393,[]
268394,[]
268396,[]
268397,[]
268399,[]
268400,[]
268417,[]
268488,[]
268490,[]
268888,[]
268984,[]
269102,[]
269103,[]
269104,[]
269163,[]
269164,[]
269200,[]
269203,[]
269296,[]
269300,[]
269303,[]
269574,[]
269579,[]
269581,[]
269582,[]
269596,[]
269829,[]
269951,[]
270125,['2.1']
270340,[]
270341,[]
270343,[]
270344,[]
270346,[]
270347,[]
270350,[]
270352,[]
270364,[]
270365,[]
270381,[]
270382,[]
270406,['5.64']
270408,[]
270648,[]
270666,[]
270689,['3.5']
270691,['7.5']
270693,[]
270724,[]
270738,[]
270745,['3.5']
270746,[]
270758,[]
270759,[]
270760,[]
270840,['3.5']
270956,[]
270957,[]
270959,[]
270960,[]
271043,[]
271045,[]
271059,[]
271156,[]
271176,[]
271255,[]
271603,[]
271788,[]
271823,[]
272018,[]
272137,[]
272242,[]
272253,[]
272289,[]
272290,[]
272333,[]
272545,[]
272639,[]
272641,[]
272726,['3.6']
273132,[]
273135,[]
273193,[]
273215,['2.88']
273241,[]
273268,[]
273299,[]
273303,[]
273336,[]
273346,['6.5']
273427,[]
273460,[]
273516,[]
273518,[]
273838,[]
274042,[]
274257,[]
274425,[]
274454,[]
274515,[]
274516,[]
274661,[]
274699,[]
274805,[]
274870,[]
274927,[]
274949,[]
275004,[]
275113,[]
275325,[]
275384,[]
275385,[]
275423,[]
275593,[]
275595,[]
275654,[]
275792,[]
275801,[]
275808,[]
275809,[]
275814,[]
275860,[]
275889,[]
275976,[]
276015,[]
276022,['5.5']
276025,['3.99']
276269,[]
276429,[]
276476,[]
276478,[]
276480,[]
276499,[]
276500,[]
276670,[]
276687,['2.49']
276930,[]
276931,[]
276966,[]
276970,[]
276972,[]
277038,[]
277045,[]
277054,[]
277055,[]
277058,[]
277059,[]
277062,[]
277063,[]
277164,[]
277171,[]
277247,[]
277272,[]
277274,[]
277284,[]
277479,[]
277506,[]
277510,[]
277759,[]
277793,[]
277818,[]
277875,[]
277977,[]
277987,[]
277988,[]
278127,['3.920']
278128,[]
278129,[]
278138,['1.96']
278156,[]
278223,[]
278224,[]
278305,[]
278306,[]
278330,[]
278442,[]
278452,[]
278455,[]
278492,[]
278495,[]
278510,[]
278539,[]
278739,['3.675']
278788,[]
278837,[]
278946,['5.76']
279022,['3.36']
279055,['3.675']
279059,['9.800']
279060,['6.860']
279180,[]
279193,['2.940']
279214,[]
279305,['4.8']
279405,[]
279458,['3.92']
279459,['2.94']
279521,[]
279553,['1.715']
279557,[]
279661,[]
279670,[]
279729,[]
279735,[]
279736,[]
279739,[]
279740,[]
279808,['7.5']
279855,[]
279871,[]
279895,[]
279914,['3.5']
279936,[]
279937,[]
279939,[]
279966,['2.940']
279967,['4.900']
279968,['7.350']
279969,['6.125']
280010,[]
280012,[]
280253,[]
280270,['3.920']
280367,[]
280526,[]
280531,[]
280534,[]
280559,[]
280563,[]
280591,[]
280689,[]
280726,[]
280789,[]
280827,[]
281024,[]
281142,[]
281145,[]
281148,[]
281216,[]
281302,['5.145']
281306,['3.75']
281321,[]
281367,['3.92']
281428,[]
281429,[]
281501,[]
281524,['3.675']
281533,[]
281655,['4.410']
281754,[]
281942,[]
281989,['4.410']
281990,[]
282236,[]
282263,[]
282397,[]
282422,[]
282439,[]
282549,[]
282754,['4.900']
282899,['4.25']
283196,['4.5']
283263,['5.880']
283265,['5.232']
283315,[]
283584,['4.900']
283629,[]
283659,[]
283715,['2.940']
283905,['5.886']
284033,['5.880']
284137,['5.390']
284362,['3.920']
284391,['3.430']
284710,['7.370']
284712,['9.380']
284751,[]
284817,['3.920']
284994,['6.5']
285675,['3.685']
286244,[]
287274,['3.350']
287449,['3.350']
287720,['4.020']
287917,['3.430']
288192,['4.75']
288226,[]
288551,[]
288680,[]
288897,['5.025']
288916,[]
289481,['6.700']
289482,['7.705']
289500,[]
289635,['3.350']
289894,['3.350']
289895,['5.360']
289896,['6.365']
290058,[]
290090,['4.020']
290092,['4.355']
290851,[]
290885,['5.360']
291036,['3.675']
291037,['3.350']
291038,['6.365']
291046,['3.685']
291095,[]
291163,[]
291230,[]
291295,['5.360']
291457,[]
291520,['5.025']
291655,[]
291712,['3.350']
291765,['4.690']
291780,['4.25']
291960,['5.025']
291962,['7.370']
291969,[]
292180,[]
292294,['4.020']
292295,['5.360']
292298,['3.350']
292300,['6.030']
292301,['4.020']
292303,['5.025']
292359,['4.75']
292453,['4.020']
292454,['4.355']
292456,['3.350']
292457,['5.025']
292459,['5.695']
292679,['5.360']
292681,['4.690']
292712,[]
293097,['4.6']
293198,[]
293217,[]
293220,['4.355']
293221,['7.370']
293222,['4.355']
293223,['3.350']
293224,['5.025']
293225,['4.690']
293295,['7.035']
293296,['9.000']
293297,['2.940']
293312,['3.685']
293313,['3.350']
293316,['6.700']
293343,[]
293532,['3.685']
293534,['3.350']
293535,['3.685']
293546,['4.020']
293551,['3.685']
293553,['6.700']
293629,['5.360']
293630,['4.355']
293706,[]
293708,[]
293713,['6.030']
293777,['5.025']
293778,['3.350']
293779,['4.020']
293844,[]
293953,['9.045']
293956,['6.030']
293958,['6.700']
293959,['4.020']
293960,['4.020']
293962,['4.355']
293963,['3.350']
293965,['3.920']
293993,['3.685']
294122,[]
294190,[]
294233,['5.025']
294234,['5.695']
294235,['3.675']
294270,['9.045']
294272,['5.200']
294273,['3.350']
294338,['4.690']
294339,['5.360']
294463,['1.9']
294618,[]
294723,[]
294921,['3.350']
295068,['5.360']
295113,"['700.00', '16800.00', '17500.00']"
295119,[]
295145,[]
295207,['3.120']
295593,['4.330']
295616,['8.375']
295618,['3.35']
295707,[]
295734,['4.600']
295797,[]
295834,[]
295843,[]
295846,[]
295862,[]
295886,[]
295935,[]
295947,[]
296014,['3.350']
296027,['3.350']
296029,['3.920']
296213,[]
296354,[]
296390,[]
296524,[]
296616,['3.350']
296684,[]
296813,[]
296831,['3.685']
296833,['5.025']
296834,['3.685']
297058,[]
297099,[]
297130,[]
297184,['5.880']
297569,[]
297651,['3.350']
297691,['7.035']
297765,[]
297767,[]
298029,[]
298054,['3.430']
298057,['4.410']
298059,['2.940']
298060,['4.900']
298094,[]
298138,[]
298378,[]
298469,[]
298470,[]
298471,[]
298472,[]
298579,[]
298586,['3.350']
298588,['3.350']
298902,[]
298957,[]
298958,[]
299056,[]
299057,[]
299076,[]
299328,[]
299459,[]
299500,['3.350']
299501,['3.350']
299503,['5.695']
299551,['1.750']
299552,['6.490']
299807,[]
299940,[]
300239,[]
300321,['2.940']
300323,['6.00']
300324,['4.410']
300325,['5.025']
300328,['6.490']
300442,[]
300468,['4.690']
300544,[]
300546,[]
300550,[]
300556,[]
300561,[]
300627,[]
300630,[]
300633,[]
300634,[]
300999,['3.350']
301000,['5.360']
301107,['4.335']
301110,['6.0']
301113,['3.06']
301115,['4.59']
301116,['7.75']
301120,['5.355']
301121,['2.5']
301298,['3.25']
301301,['3.315']
301304,['6.5']
301307,['3.315']
301587,[]
301602,['5.145']
301613,['3.920']
301705,['5.25']
301930,['5.61']
301949,['3.06']
301956,['3.57']
301965,['4.59']
301967,['7.5']
301993,[]
302002,['4.500']
302004,['8.575']
302013,['3.00']
302374,[]
302404,['7.905']
302405,['6.63']
302547,[]
302746,['5.355']
302747,['5.1']
302748,['4.08']
302780,[]
302786,['4.655']
302791,['5.880']
302792,['5.400']
302824,['3.315']
302825,['5.61']
302827,['3.825']
302830,['6.63']
302834,['4.845']
302835,['4.845']
303054,[]
303127,['4.800']
303128,['4.800']
303129,['4.800']
303178,['4.59']
303179,['3.825']
303181,['2.55']
303183,['2.805']
303184,['2.805']
303185,['4.59']
303187,['4.845']
303354,['5.61']
303358,['3.06']
303362,['4.08']
303363,['4.08']
303384,['2.805']
303392,['5.5']
303394,['4.5']
303457,['3.570']
303541,['4.845']
303585,[]
303857,['4.335']
303860,['2.295']
303863,['3.06']
303864,['4.845']
303868,['4.335']
303872,['3.06']
303882,['3.500']
303971,['5.3']
304068,"['9.945', '0212096.00']"
304070,['3.825']
304071,['2.295']
304072,['5.865']
304073,['4.08']
304074,['5.1']
304378,['4.355']
304385,['2.75']
304404,['9.435']
304406,['8.925']
304410,['5.865']
304412,['3.57']
304413,['4.335']
304414,['4.845']
304415,['9.945']
304416,['11.73']
304486,['4.590']
304545,['2.5']
304670,['3.315']
304671,['2.805']
304702,[]
304739,['3.825']
304740,['6.12']
304741,['7.905']
304941,['9.945']
305257,['2.295']
305258,['6.375']
305259,['4.335']
305264,['6.63']
305282,['12.24']
305413,[]
305476,[]
305492,['5.100']
305712,['3.430']
305741,['3.825']
305786,['5.500']
305900,[]
305903,['2.04']
305947,['4.800']
305948,['4.355']
305950,['5.100']
305954,['4.335']
305961,['4.59']
305972,['5.355']
305975,[]
306153,[]
306174,[]
306175,['2.2']
306179,['5.610']
306203,[]
306229,[]
306232,[]
306321,[]
306614,['0.60']
306643,['7.500']
306781,['5.1']
306875,['3.315']
306877,['6.600']
306892,[]
306894,['2.295']
306896,['5.61']
306900,['2.805']
306907,['2.295']
306908,['4.59']
306954,[]
307048,[]
307234,['3.315']
307236,['7.395']
307237,['10.455']
307239,['7.905']
307240,['6.12']
307242,['3.825']
307384,[]
307443,"['663.00', '15912.00', '16575.00']"
307666,[]
307668,[]
307700,[]
307709,['3.5']
307753,['5.040']
308058,[]
308060,[]
308285,['2.75']
308566,[]
308622,['5.25']
308625,['3.060']
308645,[]
308668,['5.700']
308944,[]
309170,['5.610']
309175,['4.080']
309177,['4.500']
309233,['3.825']
309235,['5.1']
309270,[]
309312,['6.630']
309348,[]
309366,['3.06']
309367,['2.85']
309369,['4.08']
309371,['5.1']
309372,['3.43']
309376,['3.315']
309379,['4.9']
309397,['4.08']
309519,['3.185']
309520,['5.39']
309521,['2.45']
309555,[]
309559,[]
309569,[]
309643,['3.92']
309648,[]
309650,[]
309716,['4.41']
309718,['2.205']
309837,['5.53']
309839,['4.9']
309842,['5.145']
309920,['9.625']
309959,['5.865']
309960,['4.800']
309961,['5.355']
309962,['5.225']
309977,['4.655']
309980,['4.655']
310014,['3.5']
310096,['5.39']
310097,['2.55']
310145,[]
310246,['4.41']
310247,[]
310288,['5.100']
310304,['5.635']
310313,['3.675']
310328,['4.590']
310381,['3.92']
310549,['3.675']
310672,['3.43']
310673,['4.41']
310723,['6.37']
310795,['4.165']
310884,[]
311096,['4.41']
311098,['4.75']
311142,['5.39']
311146,['3.25']
311190,[]
311294,['3.75']
311298,"['3.75', '5.25']"
311380,['4.5']
311384,['2.555']
311555,['4.5']
311744,['4.5']
311751,[]
311752,['4.25']
311754,['5.25']
311756,['5.5']
311851,[]
311990,['7.350']
312032,['4.75']
312046,['2.75']
312049,[]
312160,['4.800']
312376,[]
312383,['6.125']
312404,['5.98']
312405,['5.23']
312409,['5.25']
312411,['6.25']
312458,[]
312524,['4.080']
312525,['5.610']
312526,['4.080']
312527,['5.355']
312551,[]
312568,['3.5']
312573,['4.8']
312592,['2.75']
312595,['2.5']
312675,['4.5']
312812,[]
312813,['5.64']
312942,['5.98']
312945,['2.6']
312946,['9.5']
312952,[]
312954,['4.68']
312955,[]
313257,['4.42']
313261,['3.12']
313262,['3.5']
313264,['6.5']
313276,['4.5']
313312,['4.68']
313421,['5.98']
313464,['3.12']
313465,['5.98']
313468,['5.98']
313470,['6.24']
313561,['7.02']
313564,['8.58']
313569,['6.5']
313576,['4.94']
313657,['6.750']
313728,[]
313747,['7.54']
313748,['5.2']
313750,['9.36']
313751,['3.9']
313754,['4.42']
313755,['7.02']
313757,['5.72']
314065,['5.72']
314067,['4.68']
314070,['4.42']
314071,['3.9']
314072,['6.25']
314074,['4.42']
314352,['7.521']
314421,[]
314422,['3.64']
314424,['5.72']
314426,['2.34']
314600,['3.64']
314603,['9.1']
314605,['2.86']
314607,['4.42']
314610,['5.2']
314816,['5.98']
314820,['4.42']
314850,[]
314864,['7.54']
314868,['2.86']
314869,['4.68']
314870,['3.9']
314871,['5.2']
314875,['3.5']
314876,['2.86']
314877,['3.38']
314879,['5.46']
314880,['6.76']
314881,['6.76']
314885,['5.2']
314886,['3.12']
314900,['3.060']
314939,['4.2']
315031,['3.64']
315101,[]
315176,['2.08']
315181,['7.28']
315296,['3.0']
315465,['6.5']
315468,['5.2']
315469,['5.2']
315470,['5.2']
315472,['4.42']
315473,['4.68']
315474,['3.38']
315482,['5.46']
315484,['3.9']
315486,['3.64']
315632,['7.02']
315634,['7.02']
315636,['2.34']
315638,['5.2']
315640,['2.86']
315641,['6.5']
315642,['5.46']
315650,['2.08']
315658,['3.36']
315729,['4.0']
315730,['2.0']
315733,['4.680']
315775,['4.94']
315786,['4.05']
315977,['4.42']
315988,['5.46']
315989,['3.38']
315991,['2.08']
316360,['6.5']
316361,['3.38']
316366,[]
316544,[]
316549,['26.0']
316589,['2.5']
316605,[]
316624,['3.9']
316627,['4.42']
316637,['3.9']
316838,['6.24']
316899,[]
316947,['7.28']
316949,['5.98']
316950,['8.58']
316961,[]
316994,['6.5']
317208,['5.2']
317277,['2.6']
317294,['5.98']
317404,['3.38']
317424,['7.8']
317433,['2.34']
317434,['6.24']
317439,['4.16']
317481,['3.38']
317482,['5.46']
317484,['3.64']
317485,['6.5']
317487,['3.38']
317502,['5.46']
317505,['3.64']
317507,[]
317515,['3.850']
317516,['9.350']
317597,['5.250']
317622,['3.38']
317623,['9.75']
317625,['3.12']
317626,['7.8']
317627,[]
317685,['2.6']
317686,['4.16']
317688,['4.68']
317699,[]
317713,['3.300']
317716,['3.900']
317772,[]
317773,[]
317812,['5.72']
317814,['11.7']
317817,['7.02']
317819,['3.38']
317821,['5.2']
317822,['7.28']
317840,['17.54']
317842,['2.86']
317844,['3.38']
317845,['2.6']
317846,['5.72']
317849,['9.62']
317859,['5.72']
317889,[]
317891,[]
317985,['4.94']
318038,['4.94']
318052,['4.16']
318054,['2.86']
318075,['9.36']
318144,['8.58']
318216,['7.54']
318217,['3.64']
318257,[]
318293,['5.98']
318298,['2.6']
318301,['14.3']
318304,['6.24']
318307,['3.9']
318308,['4.68']
318309,['4.94']
318311,['5.2']
318313,['2.86']
318373,[]
318509,['8.84']
318537,['10.4']
318539,['3.12']
318540,['3.12']
318541,['3.9']
318548,['6.76']
318620,['3.12']
318654,['6.36']
318679,['6.0']
318801,[]
318811,['3.9']
318812,['3.9']
318822,[]
318844,['2.86']
318845,['4.68']
318849,['5.72']
318854,[]
318889,[]
318898,['8.06']
318900,['11.96']
318901,['3.38']
318908,['9.88']
319046,['2.86']
319047,['7.28']
319065,['11.44']
319070,['5.98']
319075,['7.28']
319077,['2.6']
319079,['3.38']
319082,['4.94']
319091,['7.28']
319190,['3.0']
319192,['4.86']
319193,['9.18']
319209,['7.02']
319217,['7.8']
319262,['5.3']
319296,['11.18']
319298,['5.2']
319300,['5.72']
319301,['5.2']
319436,['7.54']
319438,[]
319440,['3.64']
319441,['5.98']
319443,['9.88']
319484,['2.6']
319497,[]
319506,[]
319544,[]
319591,['5.72']
319594,[]
319595,['7.800']
319599,['3.38']
319735,['3.12']
319747,['8.06']
319804,['5.0']
319807,['7.20']
319908,['3.38']
319999,['7.02']
320014,['2.6']
320016,['9.62']
320017,['2.34']
320018,['7.02']
320020,['3.38']
320023,['3.12']
320024,['7.28']
320025,['9.62']
320028,['3.9']
320029,['3.12']
320030,['4.16']
320147,[]
320181,['4.68']
320183,['3.38']
320185,['3.64']
320186,['3.64']
320187,['3.64']
320188,['11.44']
320189,['9.1']
320190,['10.4']
320192,['2.6']
320193,['7.28']
320194,['2.6']
320326,['10.14']
320327,['3.12']
320330,['10.66']
320351,['6.5']
320361,['5.2']
320362,['4.16']
320363,['4.16']
320395,['7.8']
320405,['3.380']
320548,['7.95']
320559,['2.08']
320614,['4.42']
320674,['6.5']
320680,['2.7']
320688,['2.34']
320690,['5.720']
320696,[]
320702,[]
320777,['5.3']
320779,[]
320922,['4.24']
320969,[]
321030,[]
321043,['3.03']
321090,['8.58']
321091,['4.94']
321092,['6.24']
321093,['5.2']
321137,[]
321174,[]
321213,[]
321215,[]
321218,[]
321225,['8.320']
321300,['5.72']
321302,[]
321355,['5.98']
321358,['4.680']
321405,[]
321523,[]
321535,[]
321700,[]
321808,['6.0']
321901,['4.5']
321929,['5.720']
321930,['2.86']
321931,['10.14']
321932,['9.880']
321935,['7.800']
321936,['3.120']
321978,['4.505']
322185,['4.42']
322190,['5.215']
322204,['5.2']
322205,['6.5']
322332,['5.2']
322350,['7.280']
322351,['4.420']
322353,[]
322369,['5.720']
322370,['4.68']
322408,['8.48']
322571,['5.2']
322651,['5.695']
322803,[]
322824,['3.64']
322827,['4.68']
322845,['6.23']
322846,['9.69']
322847,[]
322855,['4.59']
322867,['5.775']
322869,['4.95']
322871,['8.68']
322872,['4.40']
322873,['7.15']
322901,['2.86']
322937,[]
322972,['4.2']
322997,[]
323140,['2.6']
323144,['3.380']
323146,['3.900']
323147,['4.25']
323148,[]
323151,['3.25']
323162,['2.080']
323681,[]
323688,[]
323695,[]
323697,['8.840']
323781,['10.92']
323785,['5.460']
323786,['4.94']
323787,['8.060']
323800,['2.600']
323833,['4.940']
323854,['4.420']
323867,['5.2']
323872,['7.02']
323935,[]
323939,['7.020']
323961,['6.24']
323979,['6.867']
323980,['7.52']
323981,['7.52']
324101,['11.10']
324133,['4.42']
324160,['4.160']
324183,[]
324200,['4.420']
324201,['2.805']
324233,['14.940']
324288,['3.900']
324323,['3.71']
324372,['7.15']
324379,[]
324381,['5.225']
324391,['4.940']
324394,['3.120']
324429,['3.64']
324430,['4.68']
324432,['2.6']
324438,['6.760']
324445,[]
324695,['7.020']
324702,['4.940']
324724,[]
324804,[]
324833,['11.59']
324849,['4.86']
324857,['8.060']
324909,['6.12']
324910,['6.760']
324933,['5.6']
324984,['3.57']
324996,['4.160']
325160,[]
325249,['5.200']
325250,['12.480']
325284,[]
325286,['5.460']
325290,['3.640']
325293,['3.38']
325387,['8.58']
325395,['4.16']
325401,['9.360']
325420,['6.5']
325423,['5.200']
325450,['6.25']
325466,['4.08']
325468,['3.31']
325469,[]
325524,[]
325594,[]
325595,[]
325662,[]
325675,['3.020']
325697,['7.8']
325700,['5.720']
325723,['4.420']
325745,['6.24']
325749,[]
325759,['3.36']
325760,['3.18']
325779,['4.845']
325780,['6.375']
325782,['8.67']
325814,['4.160']
325815,['8.060']
325817,['4.13']
325824,"['3.975', '8307.75', '5815.42']"
325869,[]
325938,['2.805']
325975,"['4.24', '861.60', '658.48']"
326077,['4.94']
326079,['3.640']
326108,[]
326120,['3.06']
326123,['6.76']
326181,['4.770']
326234,['11.0']
326269,['9.010']
326319,['10.455']
326347,['3.38']
326366,['3.57']
326396,[]
326406,['4.680']
326436,['9.945']
326444,['4.505']
326445,['4.08']
326477,['4.08']
326490,['4.940']
326513,['2.04']
326574,['2.860']
326579,['3.570']
326584,['4.500']
326596,[]
326631,['4.5']
326642,['3.06']
326658,['5.200']
326709,['2.860']
326722,['6.855']
326733,['4.160']
326744,['7.14']
326828,['9.8']
326921,['8.215']
326961,['7.14']
326975,['8.16']
326977,['4.08']
326993,['5.35']
327104,['5.980']
327165,['7.14']
327223,[]
327237,['4.59']
327243,['7.280']
327257,[]
327295,['3.75']
327406,['8.67']
327413,['4.48']
327499,['6.63']
327500,['6.375']
327524,['6.750']
327603,['5.13']
327613,['4.08']
327624,['3.1']
327682,['5.20']
327683,['4.94']
327751,['7.14']
327753,['3.6']
327817,['6.12']
327874,['5.1']
327957,['9.945']
327963,['3.12']
328020,['8.415']
328022,['2.805']
328023,['4.59']
328065,['3.60']
328090,[]
328092,['2.295']
328244,['6.12']
328299,['4.08']
328384,['6.885']
328402,['5.2']
328412,['3.64']
328416,['5.30']
